file,ipc,l1d_mpki,l2_mpki,llc_mpki,prefetch_issued,prefetch_useful,trace_folder,variant
baseline.txt,0.529026,66.0504,40.3453,40.1097,,,1st_trace1,baseline_noninc
table128.txt,0.55083,66.0503,40.343,40.11,1010958.0,325421.0,1st_trace1,table128
table32.txt,0.597019,66.0501,40.3299,40.1091,457608.0,457601.0,1st_trace1,table32
table64.txt,0.596938,66.0504,40.3299,40.1095,457733.0,457726.0,1st_trace1,table64
baseline.txt,0.462268,78.0222,47.6893,47.38,,,1st_trace2,baseline_noninc
table128.txt,0.510793,78.0213,47.7124,47.379,511961.0,511957.0,1st_trace2,table128
table32.txt,0.510793,78.0213,47.7124,47.379,511961.0,511957.0,1st_trace2,table32
table64.txt,0.510793,78.0213,47.7124,47.379,511961.0,511957.0,1st_trace2,table64
baseline.txt,0.834309,35.7547,22.197,21.7126,,,1st_trace3,baseline_noninc
table128.txt,0.923578,35.7542,22.1969,21.7119,232724.0,,1st_trace3,table128
table32.txt,1.03743,35.7544,22.197,21.7121,234078.0,234074.0,1st_trace3,table32
table64.txt,1.03743,35.7544,22.197,21.7121,234078.0,234074.0,1st_trace3,table64
baseline.txt,0.462276,77.7236,47.562,47.1961,,,1st_trace4,baseline_noninc
table128.txt,0.44765,77.7236,47.5718,47.1963,480316.0,,1st_trace4,table128
table32.txt,0.512593,77.7235,47.5843,47.1962,509426.0,509417.0,1st_trace4,table32
table64.txt,0.512593,77.7235,47.5843,47.1962,509430.0,509421.0,1st_trace4,table64
baseline.txt,0.529026,66.0504,40.3453,40.1097,,,2nd_trace1,baseline_noninc
exclusive_cache.txt,0.495808,66.0503,40.353,40.1096,,,2nd_trace1,baseline_exclusive
baseline.txt,0.462268,78.0222,47.6893,47.38,,,2nd_trace2,baseline_noninc
exclusive_cache.txt,0.425492,78.022,47.6953,47.3799,,,2nd_trace2,baseline_exclusive
baseline.txt,0.834309,35.7547,22.197,21.7126,,,2nd_trace3,baseline_noninc
exclusive_cache.txt,0.853211,35.7547,22.1969,21.7126,,,2nd_trace3,baseline_exclusive
baseline.txt,0.462276,77.7236,47.562,47.1961,,,2nd_trace4,baseline_noninc
exclusive_cache.txt,0.426972,77.7235,47.5661,47.1965,,,2nd_trace4,baseline_exclusive
baseline.txt,0.529026,66.0504,40.3453,40.1097,,,3rd_trace1,baseline_noninc
baseline_exclusive.txt,0.495808,66.0503,40.353,40.1096,,,3rd_trace1,baseline_exclusive
table128.txt,0.52121,66.0497,40.3443,40.109,410756.0,,3rd_trace1,table128
table32.txt,0.521071,66.0496,40.3311,40.109,410992.0,,3rd_trace1,table32
table64.txt,0.52121,66.0497,40.3443,40.109,410756.0,,3rd_trace1,table64
baseline.txt,0.462268,78.0222,47.6893,47.38,,,3rd_trace2,baseline_noninc
baseline_exclusive.txt,0.425492,78.022,47.6953,47.3799,,,3rd_trace2,baseline_exclusive
table128.txt,0.44544,78.0211,47.7156,47.379,482842.0,,3rd_trace2,table128
table32.txt,0.44544,78.0211,47.7156,47.379,482842.0,,3rd_trace2,table32
table64.txt,0.44544,78.0211,47.7156,47.379,482842.0,,3rd_trace2,table64
baseline.txt,0.834309,35.7547,22.197,21.7126,,,3rd_trace3,baseline_noninc
baseline_exclusive.txt,0.853211,35.7547,22.1969,21.7126,,,3rd_trace3,baseline_exclusive
table128.txt,0.923578,35.7542,22.1969,21.7119,232724.0,,3rd_trace3,table128
table32.txt,0.923578,35.7542,22.1969,21.7119,232724.0,,3rd_trace3,table32
table64.txt,0.923578,35.7542,22.1969,21.7119,232724.0,,3rd_trace3,table64
baseline.txt,0.462276,77.7236,47.562,47.1961,,,3rd_trace4,baseline_noninc
baseline_exclusive.txt,0.426972,77.7235,47.5661,47.1965,,,3rd_trace4,baseline_exclusive
table128.txt,0.44765,77.7236,47.5718,47.1963,480316.0,,3rd_trace4,table128
table32.txt,0.44758,77.7238,47.57,47.1964,480468.0,,3rd_trace4,table32
table64.txt,0.44758,77.7238,47.57,47.1964,480468.0,,3rd_trace4,table64
